SEXO,EDAD,NIVEL_EDUCATIVO,TUVO_TRABAJO,BUSCA_OTRO_TRABAJO,TAMANO_EMPRESA,QUIERE_MAS_HORAS,INGRESO_PRINCIPAL,SEGURO_SALUD,DIAS_AUSENTE,DISCAPACIDAD,ETNIA_2,ETNIA_3,ETNIA_4,ETNIA_5,ETNIA_6,ETNIA_7,ETNIA_8,ETNIA_9,TIPO_TRABAJADOR_2.0,TIPO_TRABAJADOR_3.0,TIPO_TRABAJADOR_4.0,TIPO_TRABAJADOR_6.0,TIPO_TRABAJADOR_7.0,TIPO_TRABAJADOR_8.0,TIPO_TRABAJADOR_9.0,NIVEL_OCUPACION_2,NIVEL_OCUPACION_3,NIVEL_OCUPACION_4,REGISTRO_SUNAT_2.0,REGISTRO_SUNAT_3.0,LIBROS_CONTABLES_2.0,FRECUENCIA_PAGO_2.0,FRECUENCIA_PAGO_3.0,FRECUENCIA_PAGO_4.0,FRECUENCIA_PAGO_5.0
0,-0.9499566305592072,11,1,0.0,5.0,0.0,4.610156201208221,3,0.0,0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,-0.7981527007478518,11,1,0.0,5.0,0.0,4.509364065326771,3,0.0,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,0.9222918371141757,12,1,0.0,4.0,1.0,4.505332379891513,3,0.0,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,-0.3933422212509041,11,1,0.0,5.0,1.0,4.344468131024719,1,0.0,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0.11267087812028044,9,1,0.0,1.0,0.0,4.308182962107398,3,0.0,0,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,0.8210892172399389,8,1,0.0,1.0,0.0,4.308182962107398,1,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0.1632721880573989,12,1,0.0,2.0,0.0,4.308182962107398,0,0.0,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,1.175298386799768,11,1,0.0,1.0,0.0,4.308182962107398,3,0.0,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,-0.4439435311880226,12,1,0.0,5.0,1.0,4.308182962107398,1,0.0,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0.7704879073028204,12,1,0.0,2.0,0.0,4.258190062710199,3,0.0,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
