SEXO,EDAD,NIVEL_EDUCATIVO,ETNIA,TUVO_TRABAJO,TIPO_TRABAJADOR,BUSCA_OTRO_TRABAJO,NIVEL_OCUPACION,REGISTRO_SUNAT,TAMANO_EMPRESA,QUIERE_MAS_HORAS,LIBROS_CONTABLES,FRECUENCIA_PAGO,INGRESO_PRINCIPAL,LIMIT_MOVIMIENTO,LIMIT_VISION,LIMIT_COMUNICACION,LIMIT_AUDICION,LIMIT_APRENDIZAJE,LIMIT_RELACION,SEGURO_SALUD,DIAS_AUSENTE
1,58,9,7,1,3.0,2.0,1,1.0,3.0,2.0,,4.0,9528.0,2,2,2,2,2,2,1,2.0
1,54,11,7,1,3.0,2.0,1,,5.0,1.0,,4.0,9375.0,2,2,2,2,2,2,1,2.0
2,53,11,7,1,3.0,2.0,1,1.0,2.0,1.0,,4.0,9334.0,2,2,2,2,2,2,1,2.0
2,48,12,7,1,3.0,2.0,1,1.0,3.0,2.0,,4.0,9334.0,2,2,2,2,2,2,1,2.0
1,39,11,7,1,3.0,2.0,1,,5.0,1.0,,4.0,9282.0,2,2,2,2,2,2,1,2.0
1,54,8,1,1,3.0,2.0,1,1.0,5.0,1.0,,4.0,9265.0,2,2,2,2,2,2,1,2.0
1,46,12,7,1,3.0,2.0,1,,5.0,2.0,,4.0,9050.0,2,2,2,2,2,2,3,2.0
1,36,11,7,1,3.0,2.0,1,,5.0,2.0,,4.0,9050.0,2,2,2,2,2,2,1,2.0
2,27,11,7,1,3.0,2.0,1,,5.0,2.0,,4.0,9050.0,2,2,2,2,2,2,1,2.0
1,52,12,7,1,3.0,2.0,1,,5.0,2.0,,4.0,9050.0,2,2,2,2,2,2,1,2.0
1,62,12,7,1,3.0,2.0,1,,5.0,2.0,,4.0,9050.0,2,2,2,2,2,2,1,2.0
1,54,12,7,1,3.0,2.0,1,,5.0,1.0,,4.0,9000.0,2,2,2,2,2,2,6,2.0
2,52,10,7,1,1.0,2.0,1,2.0,1.0,2.0,1.0,,9000.0,2,2,2,2,2,2,5,2.0
1,52,11,7,1,1.0,2.0,1,1.0,1.0,1.0,,,9000.0,2,2,2,2,2,2,1,2.0
1,66,9,7,1,3.0,2.0,1,1.0,5.0,2.0,,4.0,8968.0,2,2,2,2,2,2,3,2.0
1,51,11,5,1,3.0,2.0,1,1.0,5.0,2.0,,4.0,8905.0,2,2,2,2,2,2,1,2.0
2,40,12,7,1,3.0,2.0,1,1.0,5.0,2.0,,4.0,8876.0,2,2,2,2,2,2,3,2.0
1,40,11,7,1,3.0,2.0,1,1.0,5.0,2.0,,4.0,8767.0,2,2,2,2,2,2,3,2.0
