ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,REGION,LLAVE_PANEL,ESTRATO,C201,C203,C204,C205,C206,C207,C208,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C300n,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,I339_1,D341_T,I342,D344,I345_1,I348,D347_T,D350,D351_T,INGTOT,INGTOTP,ingtrabw,RESIDENT,fa_mam25
2025,03,1960502,1,0054,1,1,20241219605021005411,1,1,1,1,2, ,1,38,1,28,7,1986,1, , , , , , , , , , , , , , ,1, ,3115,4520,2, ,3,2,1,2,0,8,8,8,8,8,8,48, ,48,1, ,1,1,1,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,9,3, ,2,2,2,2,2,2,10,7,1, , ,3000, , , , , , ,3000,3000,3000,1,889.657360430357
2025,03,23336,1,0050,1,1,202406233361005011,1,1,1,1,2, ,1,57,2,15,10,1967,1, , , , , , , , , , , , , , ,1, ,7127,4322,3,5,1, ,1,4,7,8,8,8,8,8,10,57, ,57,1, ,2, ,2,2,4,2400, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1,2400, , , , , , , ,600,2400,2400,3000,1,870.078401915708
2025,03,1821001,1,0034,1,1,20250318210011003411,1,1,1,1,2, ,2,55,1,10,2,1970,1, , , , , , , , , , , , , , ,1, ,3321,6512,3,5,1, ,2,45,0,10,10,8,10,8,9,55, ,55,1, ,2, ,2,2,4,3000, , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,9,3, ,2,2,2,2,2,2,10,7,1,3000, , , , , , , , ,3000,3000,3000,1,400.696343022722
2025,03,47957,1,0114,1,1,202412479571011411,1,1,1,1,2, ,1,44,1,9,11,1980,1, , , , , , , , , , , , , , ,1, ,9629,6820,2, ,1, ,1,1,10,10,10,10,0,10,18,68, ,68,1, ,2, ,2,2, , , ,3000, , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,8,1, ,2,2,2,2,2,2,10,8,1, , ,3000, , , , , , ,3000,3000,3000,1,1669.06014824137
2025,03,2259001,1,0059,1,1,20241222590011005911,1,1,1,1,2, ,1,50,1,28,11,1974,1, , , , , , , , , , , , , , ,1, ,5419,8010,3,5,3,2,1,5,0,10,0,8,0,11,14,43, ,43,1, ,1,1,1,2,4,3000, , , , , , , , , , , , , , ,1,1,1,3,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,3,2, ,2, ,2, ,9,3, ,2,2,2,2,2,2,10,7,1,3000, , , , , , , , ,3000,3000,3000,1,762.142722780593
2025,03,25747,1,0123,1,1,202503257471012311, ,1,1,1,2, ,1,72,1,19,8,1952,1, , , , , , , , , , , , , , ,1, ,8331,4922,2, ,3,2,1,2,0,8,8,8,8,8,0,40, ,40,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,1,1,3,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,3,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1, , ,3000, , , , , , ,3000,3000,3000,1,1034.74267542053
2025,03,26391,1,0010,1,1,202312263911001011,1,1,1,1,2, ,1,65,1,28,12,1959,1, , , , , , , , , , , , , , ,1, ,7332,1811,1, ,1, ,1,2,0,8,8,8,8,8,8,48, ,48,1, ,2, ,2,2, , , ,3000, , , , , , , , , , , , ,1,6,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1, , ,3000, , , , , , ,3000,3000,3000,1,2090.47846133503
2025,03,27101,1,0033,1,1,202412271011003312,1,2,2,1,2, ,2,47,2,26,6,1977,1, , , , , , , , , , , , , , ,2, ,3314,9602,1, ,2,2,1,3,2,6,6,6,6,6,6,38, ,38,1, ,1,1,1,2, , , , , , , , , , , , , , , , ,1,2,2, ,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1, , ,3000, , , , , , ,3000,3000,3000,1,758.330727151272
2025,03,21250,1,0095,1,1,202403212501009511,1,1,1,1,2, ,1,58,1,30,5,1966,1, , , , , , , , , , , , , , ,1, ,3314,4330,1, ,2,2,1,4,0,8,8,8,8,8,8,48, ,48,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,4,2, ,2, ,2, ,1,3,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,3,10,4, ,2,2,2,2,2,2,10,7,1, , ,3000, , , , , , ,3000,3000,3000,1,910.726039381991
2025,03,25846,1,0028,1,1,202503258461002812,1,1,1,1,2, ,1,52,3,6,6,1972,1, , , , , , , , , , , , , , ,1, ,3314,9601,2, ,1, ,1,2,0,8,8,8,8,8,8,48, ,48,1, ,1,2,2,2, , , ,3000, , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,9,3, ,2,2,2,2,2,2,10,6,1, , ,3000, , , , , , ,3000,3000,3000,1,829.735950448505
